Basque	Finnish	French	German	Greek_Modern	Hebrew_Modern	Hindi	Indonesian	Japanese	Korean	Mandarin	Persian	Russian	Spanish	Tagalog	Thai	Turkish	Vietnamese
-0.7344148088	0.5136056111	-0.5147046899	1.338814839	3.715269121	0.3834400896	15.15678959	2.861709386	-0.4821342683	-0.7156856381	1.735179966	18.67874943	-0.9620062181	3.337221268	9.677276208	3.074656718	0.0467032184	1.874230103
-1.423994002	-1.447481707	0.3608732214	4.376652719	-1.631031472	-1.085864532	28.16785578	2.196323889	-3.200594592	2.333264737	1.15129002	11.89471996	-1.25779921	6.178877823	18.90821233	-1.469588096	-0.0524806922	4.391142445
-0.0520125327	0.4503101816	-2.238160751	0.0731867034	-3.402448992	-0.2662183451	63.90240103	5.052614037	-4.89612135	-0.346120133	2.094847548	10.73317119	-2.570310582	5.030825243	8.276840301	-0.4812730268	0.9578498934	2.123014482
0.0778054401	-1.00313567	-0.4741476157	0.3468568125	-2.24615835	-1.993684873	35.26113478	0.3614936809	-4.404039878	-0.1984028247	-1.311085369	6.573709111	-2.134260867	3.55143517	7.853807416	-1.297841859	-1.079010739	1.234266728
-1.182700024	-2.664126215	-3.250551675	0.6550304542	-4.649010364	-5.344831686	58.40204957	0.0580197749	-6.174868053	-0.0629262047	-3.645882261	12.3847345	-3.303183043	2.057199805	10.00482932	-4.185983455	-3.295098151	1.380939802
-3.65782726	0.291961149	-5.752252792	6.542972068	-1.238790337	-4.980255372	133.6306107	4.044185847	-13.63824648	5.188178866	-0.090455434	32.64741113	-5.805971141	12.25674833	32.25695227	-6.161657942	-3.298558157	10.61135327
-1.158389452	0.6722121074	-0.2852346897	0.905505457	-0.0726591367	-0.9770139396	11.30021699	1.080716689	-0.4517686785	-0.1573370955	0.3407247818	3.182379585	-0.7744140755	2.274544255	3.885195402	-0.3082119371	-0.1765538862	1.554420905
0.9260237329	0.1494315581	-3.361853049	0.0553696043	-0.2299726077	-1.113059826	63.28475805	1.167338476	-4.079290329	-0.5470789858	-2.017823174	8.553219989	-2.085013402	1.978958374	17.51525666	-0.8612921454	-0.1502905264	-0.3034928157
0.4607496057	0.7870862846	-0.0340772959	0.190179385	0.1349469559	0.0164914739	3.816427027	0.3480822892	-0.5084497809	0.2458035214	0.1436437793	1.539385755	0.0649325165	0.436966764	1.107308193	0.5872537165	0.2176507711	0.3734840657
-1.892713006	-1.249536887	-1.916983337	0.7785596065	-3.283793892	-2.193885049	33.75087475	0.1841314953	-5.50751352	0.2759551432	-1.372710846	8.386640079	-1.697242848	2.807641032	6.401220371	-2.088211906	-1.556448767	1.424238953
-1.48813275	-1.01002641	-0.5530935816	-0.13583173	-1.078388425	-1.219787395	4.178737913	-0.8184268684	-1.822064575	-0.6617671516	-0.083874179	2.530433416	-1.313046271	1.15104664	2.979415024	-1.732189233	-1.496657924	-0.6720169663
0.8676830829	-0.80319554	-1.795904015	0.7657390796	-3.893351557	-1.75807491	44.21041802	2.49703709	-7.043039349	2.818233585	-2.344250852	16.83007439	-2.598732946	2.091637083	9.135627186	-2.683357296	0.1069928076	4.514586112
-0.6271244022	-2.376007362	-1.875830836	0.8642628304	-3.9464306	-2.670232733	27.36308601	-0.4405408487	-5.149453763	1.337646293	-1.56259637	7.547078038	-1.076969585	2.500883685	2.45663021	-2.787132269	-0.9235078557	3.06673711
0.012686141	-0.7937260982	-2.002647536	-0.6651013859	-2.966921991	-2.144967242	27.9874095	0.153601349	-3.980389633	0.1138562104	-1.509626332	6.207116058	-2.27598694	0.4749394426	6.161849914	-1.159652722	-0.7860310844	1.210110966
0.4581429699	-0.0801468829	-0.7878351517	0.8164618226	-1.512665415	-1.137350345	15.12371244	0.3326418099	-3.179589173	0.7187891581	-1.327847268	3.443985173	-0.3739014547	2.089511454	4.482436745	-0.7020312821	-0.4313446706	-0.4395944599
0.4504774713	0.3596437194	-0.1979228862	0.1157371199	0.2711133716	-0.1595411731	4.992598207	0.4827075788	-0.2553063304	0.6387515714	-0.0216018105	1.588754501	-0.2394630748	0.486993873	1.141656723	0.6392640218	0.7988743498	-0.0002073475
0.1745171446	-0.4206985586	-0.5851638985	1.319611689	-0.8620193278	-0.8536882101	13.93229297	0.2336242557	-1.64829385	0.6934992609	-0.4958762695	2.875217735	-0.389605562	1.044612657	3.352840442	-0.6691568353	-0.3489040624	1.040452583
-1.423953596	0.3188408878	-0.8417572755	0.0518745938	-1.114082279	-1.0189572	9.291314566	0.3336195807	-2.14122388	-0.2309458567	-0.8634913285	3.62192216	-1.69516017	0.4647987694	3.153959253	-1.292972133	-0.7670094003	-0.879748162
-0.2026877448	-1.044228037	-1.053813658	1.955703654	-4.337890197	-1.764039161	27.77328009	0.5964522592	-5.483802878	-0.2873686316	-2.741555178	4.077773455	-0.8921889194	1.545838198	7.992639343	-2.974626981	-0.5208208462	-0.2586577088
0.5795789703	0.3553006434	-0.03097671691	0.1605965844	-0.0177387703	0.1657613399	4.076894216	0.1987462593	-0.3017335342	0.3291415189	0.0470168637	1.2973581	-0.02836574806	0.4639701898	1.713996619	0.2854842379	0.4651056958	0.6863347646
