Basque	Finnish	French	German	Greek_Modern	Hebrew_Modern	Hindi	Indonesian	Japanese	Korean	Mandarin	Persian	Russian	Spanish	Tagalog	Thai	Turkish	Vietnamese
4.322569788	2.206316624	-0.4162246243	-0.5112208753	-3.034385519	-2.610732663	27.32818091	4.963490716	-2.439392455	-3.739125463	-2.212196582	4.870445074	6.137375486	-0.8671516915	12.61364222	2.432890115	2.023086051	3.886856966
5.680651181	13.32772157	0.8873455773	3.389281234	-1.137942996	-1.082611225	53.65954084	4.187692302	0.9358349007	-4.056041709	-1.83109641	9.147526602	16.53474538	4.192048752	15.11003275	10.94365538	3.641686401	4.761597667
13.188308	18.57499979	0.613526973	-1.54331725	9.982419432	-5.518585053	117.3666827	21.04603133	-11.74189859	-15.13569728	-8.970466836	32.80272026	25.23521242	8.98650155	53.90305812	11.23872938	9.657239797	17.15985876
1.306291929	3.435218864	0.5867551278	-0.56420192	0.899032821	0.4190914804	7.98568828	1.319784124	1.756129835	-1.395770286	3.307983649	8.690211724	6.020759373	2.836561833	15.83179715	5.641322771	5.372693179	4.370659096
5.6259746	7.330786391	-2.343831471	-0.792799374	-2.475841119	-2.880795108	46.3093189	4.993614623	-4.974269121	-5.991941573	-5.453932272	9.485164427	9.436395391	5.226488903	15.60988361	9.227930192	4.906642458	3.449877288
-0.1529484593	0.1804868921	-0.1083058476	0.0081943572	0.2037289913	0.1799142933	0.7379237178	0.03476810142	-0.03559178688	-0.05908283682	0.1917259352	0.5365407954	0.334048637	-0.1769208851	0.584734975	0.2769838935	0.3467879748	-0.0112401894
2.841837625	7.458261606	2.232416607	0.6286049666	0.8699760967	-0.2856127674	36.47098904	3.779597057	1.927651025	-2.17269164	-1.777050086	7.886156425	11.83234023	2.91536335	15.59965925	5.491293868	4.579087592	4.469253775
6.706710285	3.879195252	0.0740488916	0.0493553908	0.5298652567	-0.4911640699	6.871599178	3.006408009	0.430071777	-1.375735316	0.2282969727	4.878815614	7.621398722	4.768510297	15.23207427	2.609728971	2.264751683	6.626924114
1.166554713	3.685693499	0.0436613045	0.5161443741	-0.04815959074	0.4194550769	7.974899555	0.4968595051	0.4045852028	0.008285594382	0.8161143838	2.343587141	1.846663821	-0.1195021183	0.4172775476	1.172206259	1.405098345	0.02411331905
2.775410505	3.891064471	-1.942626364	3.045040384	-2.207356422	-1.12605892	31.40738035	2.32679006	-0.3392769951	-3.038005858	-4.804452297	5.579305008	5.733541624	-3.373076726	4.964895209	3.321678962	2.174118281	2.929803106
4.495758933	4.394820645	-0.0189695326	0.2714161632	-2.82412871	-2.662085133	29.99977339	4.613046743	-2.329691903	-4.283623949	-2.806257811	8.795467153	10.47694581	-0.3352755988	11.32256514	7.922071292	6.584443935	2.718725542
4.067824261	10.30929268	1.01502067	-0.5478027082	-0.4946538116	-0.8656694417	16.33167056	2.177638041	-1.761378837	-2.624930531	-2.721495487	5.218418177	8.923674807	2.604000206	12.57041774	5.233400594	3.317839718	1.25522016
-0.5564280332	0.5732905409	0.2773940058	0.224709021	0.1380107075	0.3593387566	1.615202798	-0.2169455725	0.0171355517	-0.01620554868	0.5746854332	1.369322028	0.9356307095	0.9725242287	0.1821939648	1.117005747	0.4645296346	-0.1219702932
2.511767028	3.844171778	0.3441982174	-1.427879345	-0.5615826175	-2.698125778	19.54986531	1.187464162	-1.010431948	-3.789941117	-3.486422116	3.985945894	5.414243332	1.942702417	16.38790021	2.794539403	2.184300518	4.41079801
4.002293533	2.125185086	-2.088863941	-1.510021415	-1.124466405	-1.569838614	24.32223307	3.269952137	-2.074126957	-0.9662986857	-1.402360679	5.774072089	3.392729301	0.1847087311	15.42406604	0.5931804874	0.9375758923	-0.3079616048
3.973281686	6.178472666	0.7003335236	2.084710772	-0.6080459794	-0.8380963562	23.1050361	1.162259154	-0.3289801882	-1.977799037	-2.852782561	4.300875902	4.920144394	1.967917916	12.6113943	2.958245217	3.119619985	1.31523186
2.730211954	3.662975688	0.3138662369	-0.0236741182	1.660121726	-0.8113000872	8.597714497	3.382649454	-0.1505752983	-2.197948306	-0.02514795204	6.031016433	11.2888035	2.22017198	9.267967353	3.144891158	1.81910943	2.030627768
