,eus, eng, fin, fra, deu, ell, heb, hin, ind, jpn, kor, cmn, pes, rus, spa, tgl, tha, tur, vie
kat,0.18973155410858134,0.31508250926701464,0.20933406222815876,0.30952380952380953,0.24700671146398123,0.28730335490020165,0.3174763672100649,0.2047615570253981,0.4271780381305199,0.4001133893991038,0.2834589938942689,0.33135215016426833,0.35706937515795034,0.2142857142857142,0.25295782629658625,0.4285714285714285,0.454455274410019,0.29912335594953765,0.49290744716289003
gug,0.32457772907974913,0.4925045130088591,0.3683797081617468,0.4442810697737887,0.5030875080823556,0.4059114742139954,0.4437060888334091,0.49111199519469884,0.4542948436682508,0.6231488268259086,0.6155354745332372,0.5426704396199764,0.42833804952497057,0.47074387597503686,0.41076125759386184,0.4178182635725406,0.4846117967977924,0.4714058601290756,0.43639813802336547
hau,0.3542281543797805,0.24618089488044725,0.3923563797498,0.2680749452886001,0.3007479078529024,0.2925250298891604,0.23068353320174106,0.4320554819264859,0.32917960675006297,0.6258342613226059,0.5695857689894417,0.42024909563579715,0.4729537233052702,0.3168699489360267,0.2592028025128078,0.29247244711231346,0.2173762078750735,0.5639592003638094,0.2783121635129677
jac,0.3927156133728328,0.4471769671827108,0.4358974358974359,0.38229223611574903,0.5116137094944957,0.2603997383663612,0.3861501859551487,0.4998436767196447,0.29232685365962763,0.7022674209215782,0.6666666666666667,0.49292751295055737,0.4128634360480138,0.431708857226489,0.3247889635715203,0.20933406222815876,0.37724763122047233,0.5584043165537885,0.35682411917484536
kew,0.43271831455766363,0.7384428128264067,0.5753961121957767,0.6726731646460113,0.649543487088825,0.6938137821521027,0.5308425683715818,0.4754502511444789,0.6875,0.4023856953328031,0.4338614829277021,0.6169838268572867,0.5285954792089683,0.6726731646460113,0.6687054217754603,0.7272276372050095,0.6875,0.4264606653235956,0.7418011102528389
khk,0.4244786347465981,0.5135135135135135,0.3682022482088123,0.543388339511343,0.4233759578515147,0.5016920522299382,0.5152138344362804,0.33245498424797415,0.6221951740825873,0.11076797699723473,0.1839279039363827,0.3150042195610113,0.4520033756488091,0.4165517671533828,0.5635282589313677,0.6194902829261193,0.6512570837685421,0.19992887940600257,0.6698348761467847
naq,0.32264433799277503,0.3945271545334451,0.3846153846153846,0.38229223611574903,0.34067850781756914,0.4221872955987196,0.45697901065263147,0.349796779735538,0.6037030380493915,0.3774682437451181,0.33333333333333337,0.4128634360480138,0.4128634360480138,0.3081673044496389,0.42482022822759125,0.5058337888925992,0.6320099639030063,0.32461836649402953,0.6491767922771883
laj,0.39962464807088804,0.436116125565399,0.39584145998080134,0.4442810697737887,0.4769342190340585,0.35640409706516174,0.3425617413485743,0.5446791535952569,0.33302703115008436,0.8260686893042655,0.6979207299904007,0.5140873420962249,0.456921147048722,0.3913554573712923,0.3571940991933038,0.4178182635725406,0.33302703115008436,0.6661510695552056,0.342464494360593
plt,0.41654003400842177,0.4520033756488091,0.49292751295055737,0.43422105013899637,0.4662550038358837,0.42264973081037427,0.36108485666211243,0.5835366349637172,0.3223560013628919,0.690110106599544,0.6263676411214634,0.5,0.5,0.38278660015163235,0.4273628730751111,0.2799177001769044,0.35181878391233146,0.6485202542166812,0.330561318604797
arn,0.42464028773460105,0.5206987067305892,0.3683797081617468,0.49720668217628494,0.5030875080823556,0.43066516278841227,0.4942782625758264,0.3571940991933038,0.5149287499273341,0.449217516130174,0.5056884672570192,0.399754952001219,0.42833804952497057,0.4442810697737887,0.4643284159944199,0.47074387597503686,0.6058796093159589,0.3601228833141442,0.5616429962403954
