,eus, eng, fin, fra, deu, ell, heb, hin, ind, jpn, kor, cmn, pes, rus, spa, tgl, tha, tur, vie
khk,0.10557280900008426,0.04653741075440754,0.0871290708247231,0.21064778262367367,0.15484574527148343,0.09999999999999998,0.23936117074433505,0.17841616374225078,0.04653741075440754,0.30000000000000004,0.2173762078750736,0.21064778262367367,0.17841616374225078,0.09999999999999998,0.20000000000000007,0.09999999999999998,0.17841616374225078,0.14188366967896682,0.17841616374225078
naq,0.42264973081037416,0.5076340360826691,0.5285954792089682,0.5470891863421617,0.5635642195280153,0.4836022205056778,0.5635642195280153,0.5285954792089682,0.5076340360826691,0.3545027756320972,0.42264973081037416,0.4338614829277021,0.5285954792089682,0.4836022205056778,0.4836022205056778,0.4836022205056778,0.41074434901121026,0.5076340360826691,0.41074434901121026
laj,0.25379749275536345,0.2727272727272727,0.3036893761772086,0.33100639199432746,0.3553416287796958,0.33257618752808527,0.4359239251822338,0.3036893761772086,0.18181818181818177,0.42792244645264454,0.3603978509331687,0.33100639199432746,0.3907282041550575,0.33257618752808527,0.42792244645264454,0.14188366967896682,0.12961172022151068,0.36363636363636365,0.21665054819935958
plt,0.14719713457755823,0.09090909090909083,0.12961172022151068,0.24738219099361825,0.19417703597461966,0.14188366967896682,0.27475933237715766,0.21665054819935958,0,0.33257618752808527,0.25379749275536345,0.24738219099361825,0.21665054819935958,0.14188366967896682,0.2372299286035261,0.04653741075440754,0.12961172022151068,0.18181818181818177,0.12961172022151068
arn,0.29289321881345254,0.19596974779263043,0.3264246859454366,0.44529980377477085,0.3763904355376765,0.26213521262737816,0.4654775161751513,0.42264973081037427,0.19596974779263043,0.5783629786442162,0.1750420886156946,0.35284977107056603,0.42264973081037427,0.36754446796632423,0.26213521262737816,0.1567259572884323,0.23019964108049906,0.39697731084447285,0.23019964108049906
mig,0.25379749275536345,0.18181818181818177,0.3036893761772086,0.24738219099361825,0.3553416287796958,0.14188366967896682,0.3553416287796958,0.21665054819935958,0.2727272727272727,0.33257618752808527,0.4669982091109739,0.33100639199432746,0.3036893761772086,0.2372299286035261,0.2372299286035261,0.33257618752808527,0.3036893761772086,0.2727272727272727,0.3036893761772086
hae,0.18350341907227397,0.21665054819935958,0.2499999999999999,0.2794233078771078,0.3056349251705863,0.17841616374225078,0.2284832501895404,0.2499999999999999,0.21665054819935958,0.26970325665977857,0.28556549168823964,0.2794233078771078,0.2499999999999999,0.17841616374225078,0.26970325665977857,0.26970325665977857,0.2499999999999999,0.21665054819935958,0.16666666666666663
qvi,0.125,0.14719713457755823,0.18350341907227397,0.21553545944726393,0.2440710539815455,0.10557280900008426,0.2440710539815455,0.18350341907227397,0.14719713457755823,0.3291796067500632,0.25,0.21553545944726393,0.18350341907227397,0.10557280900008426,0.10557280900008426,0.2173762078750736,0.28556549168823964,0.14719713457755823,0.18350341907227397
sag,0.28556549168823964,0.3036893761772086,0.33333333333333337,0.2794233078771078,0.38278660015163235,0.26970325665977857,0.38278660015163235,0.2499999999999999,0.3036893761772086,0.36099034957730614,0.4896896369201712,0.3594873847796515,0.33333333333333337,0.26970325665977857,0.36099034957730614,0.36099034957730614,0.33333333333333337,0.3036893761772086,0.2499999999999999
xsu,0.36754446796632423,0.4606401100294064,0.4836022205056778,0.3798263270539577,0.5219085562662426,0.4343145750507621,0.5219085562662426,0.3545027756320972,0.4606401100294064,0.4343145750507621,0.36754446796632423,0.5038610616431662,0.4836022205056778,0.4343145750507621,0.4343145750507621,0.4343145750507621,0.4836022205056778,0.4606401100294064,0.4836022205056778
swh,0.25379749275536345,0.09090909090909083,0.21665054819935958,0.33100639199432746,0.27475933237715766,0.14188366967896682,0.3553416287796958,0.3036893761772086,0.09090909090909083,0.42792244645264454,0.3603978509331687,0.33100639199432746,0.3036893761772086,0.2372299286035261,0.2372299286035261,0.14188366967896682,0.21665054819935958,0.2727272727272727,0.21665054819935958
mzh,0.3291796067500632,0.42792244645264454,0.4522774424948339,0.38605938648507965,0.4083920216900384,0.4,0.23936117074433505,0.4522774424948339,0.42792244645264454,0.5,0.2173762078750736,0.4737651884157825,0.26970325665977857,0.4,0.4,0.4,0.4522774424948339,0.42792244645264454,0.4522774424948339
yad,0.5256583509747432,0.5954800825220548,0.6127016653792583,0.5038610616431662,0.6414314171996819,0.5757359312880715,0.6414314171996819,0.4836022205056778,0.5954800825220548,0.4343145750507621,0.5256583509747432,0.5038610616431662,0.6127016653792583,0.5757359312880715,0.5757359312880715,0.5757359312880715,0.4836022205056778,0.5954800825220548,0.4836022205056778
yaq,0.10557280900008426,0.2372299286035261,0.26970325665977857,0.29835358455437677,0.3238765962171868,0.20000000000000007,0.3238765962171868,0.17841616374225078,0.2372299286035261,0.30000000000000004,0.3291796067500632,0.21064778262367367,0.26970325665977857,0.20000000000000007,0.30000000000000004,0.20000000000000007,0.0871290708247231,0.2372299286035261,0.26970325665977857
yor,0.2173762078750736,0.33257618752808527,0.36099034957730614,0.29835358455437677,0.4083920216900384,0.30000000000000004,0.4083920216900384,0.26970325665977857,0.33257618752808527,0.4,0.44098300562505255,0.38605938648507965,0.36099034957730614,0.30000000000000004,0.4,0.30000000000000004,0.26970325665977857,0.33257618752808527,0.36099034957730614
